time,S1,S2,S3,S4,S5,S6,S7,S8,S9,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9,Sx1,Sx2,Sx3,Sx4,Sx5,Sx6,Sx7,Sx8,Sx9,E1,E2,E3,E4,E5,E6,E7,E8,E9,Ev1,Ev2,Ev3,Ev4,Ev5,Ev6,Ev7,Ev8,Ev9,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex7,Ex8,Ex9,I1,I2,I3,I4,I5,I6,I7,I8,I9,Iv1,Iv2,Iv3,Iv4,Iv5,Iv6,Iv7,Iv8,Iv9,Ix1,Ix2,Ix3,Ix4,Ix5,Ix6,Ix7,Ix8,Ix9,R1,R2,R3,R4,R5,R6,R7,R8,R9,Rv1,Rv2,Rv3,Rv4,Rv5,Rv6,Rv7,Rv8,Rv9,Rx1,Rx2,Rx3,Rx4,Rx5,Rx6,Rx7,Rx8,Rx9,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,333325,1799955,5533195,7133155,6999825,5199870,6666500,6666500,6666500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,9045,27805,35845,35175,26130,33500,33500,33500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,312943.989514823,1693738.15280793,5192755.1458738,6683793.33793279,6880904.32544114,5109062.19020728,6538221.35891324,6573972.5419212,6573136.89953532,14335.5855855856,77412.1621621622,237970.720720721,306781.531531532,0,0,0,0,0,741.960238785203,4015.69100670476,12311.5253114747,15846.634117153,0,0,0,0,0,4528.96643279323,21170.6326069234,76993.5104932044,108224.615336125,101796.440725006,77730.9922459584,109803.516137288,79198.9556266999,79918.2241342578,0,0,0,0,0,0,0,0,0,10.7377458219766,50.1935430957454,182.544242242887,256.590201849604,0,0,0,0,0,2084.39148264656,10736.5814919151,34883.9520809657,46386.9854689909,44823.3331372422,33630.4043699567,44715.9666210088,39899.8750286305,40008.8946900222,0,0,0,0,0,0,0,0,0,1.69049616207637,7.89786578387492,28.7333289668221,40.399216712274,0,0,0,0,0,349.202349441782,1867.5495340116,5865.60257595907,7664.37757016633,7466.88978417843,5553.87304150008,7249.31857564844,6613.67751814195,6934.92433948133,0,0,0,0,0,0,0,0,0,0.114917960018365,0.5417355421244,1.96977862234362,2.77186404441121,0,0,0,0,0,3.36123598094705,0.597245930368326,6.2955940457347,2.75676063602653,9.01091243484745,22.5401353048911,9.83975281844527,314.949905321741,1.05730092691708
2,289935.25296429,1575106.6747462,4807496.64882934,6171773.00868797,6688463.06594934,4962185.36128235,6330989.40534487,6424515.87799964,6421967.53661763,28451.1380354912,153785.49622802,472203.859069508,608334.4948739,0,0,0,0,0,1444.28432138433,7844.89157758215,23948.6612636471,30748.3465775846,0,0,0,0,0,10142.1385599781,47534.7663403236,172542.642945045,242207.206823811,239429.551274824,182763.849589635,257949.826459469,186050.588851621,188056.900134191,146.374539139543,684.013209324392,2488.51227702595,3498.66058147394,0,0,0,0,0,50.5220788356081,236.749100289113,859.525364501607,1206.69880900083,0,0,0,0,0,3840.25838180688,18778.6205373898,64849.9729765664,88952.0520313307,87061.0288046245,65984.1394109354,90902.6284362795,71815.9159331322,72297.3772342102,52.1937976797112,243.903395136856,887.34630403684,1247.54198109102,0,0,0,0,0,12.0128954575787,56.2131716729523,204.301430023226,287.031294879754,0,0,0,0,0,893.413680304501,4605.46465382239,15103.2404562136,20204.4811065037,20022.1915394706,15005.7495806558,20130.8155017262,16816.7851698176,17675.491202561,22.2393436133801,115.335103595564,375.545135652204,500.516224539717,0,0,0,0,0,1.34774437405606,6.3606200640541,23.1112350355754,32.5047388184356,0,0,0,0,0,8.82365764470963,1.5113165741222,16.6327134057125,7.45626909795565,24.1624317394106,60.9001364222654,27.3242576531399,800.832045790175,2.69481140923019
3,260599.056089239,1426376.49316116,4314607.58254329,5510051.45823313,6320658.04934442,4681773.63763839,5936865.11306302,6137592.86285206,6131057.44375858,42261.087576354,228717.218573303,701235.049871883,902604.253226563,0,0,0,0,0,2054.45156514724,11238.2878696063,34017.6404935578,43460.1383299594,0,0,0,0,0,19713.0153270972,92832.62848045,335385.548498725,469445.862200363,489920.481343938,373662.44689675,525905.584945196,381720.991834599,386625.824832218,451.025129133774,2110.44246696597,7672.98813100568,10781.7079758256,0,0,0,0,0,155.408986510902,731.419655019252,2644.27871997553,3702.72079386298,0,0,0,0,0,7472.64844436308,35713.164033206,126741.447241001,176054.820868824,178862.660318863,136110.330986747,190121.025820315,142485.045002337,143880.34239106,203.557850809475,952.226435475462,3462.50872947034,4865.90997633811,0,0,0,0,0,43.9594558587946,206.268839513229,747.92082769885,1049.19727307152,0,0,0,0,0,1925.88783664254,9615.07876401649,32742.6925875411,44647.5261974381,45503.895684646,34314.3214014258,47044.4211386534,36464.6188709099,38430.5298864696,93.8424809387873,472.513391083816,1592.81308201806,2161.34401046858,0,0,0,0,0,6.56166600553386,31.0233159316508,112.568316831722,158.173686518798,0,0,0,0,0,19.4975918991793,3.23501426805528,36.9609569972185,16.8872276339049,54.9133081256395,139.263076686168,63.8550328090365,1736.48144008886,5.85913167639803
4,220957.349079981,1227622.31362422,3647225.53959742,4609116.43600033,5646689.85655126,4169142.50725555,5222650.61851996,5604039.34221619,5589084.91489882,55497.578096545,300941.931109638,920497.958290468,1183205.41209805,0,0,0,0,0,2464.37680643742,13672.6981182788,40687.4392183189,51466.7050880576,0,0,0,0,0,35572.5522610821,169006.949308877,604473.891202552,841141.394194297,933067.395937603,710399.569201897,993352.223242982,734543.074028309,745350.981190317,1040.61806036668,4880.31761175061,17710.4034200465,24855.3190989574,0,0,0,0,0,396.747033321176,1882.32241475766,6743.34351970986,9392.42405208623,0,0,0,0,0,14174.5195917538,67356.6157149521,240754.817648765,335297.443970192,357873.523260618,272552.654501774,381667.628085608,282235.653445192,285688.022561263,537.719494086624,2519.82587088254,9149.98414234027,12846.7041945241,0,0,0,0,0,125.84578968937,593.41009433188,2140.54263147758,2993.51174944906,0,0,0,0,0,3896.14744215652,19061.8152498559,66489.4391702857,91698.6873912853,97251.862398192,73606.5403219556,102190.822984973,75582.6111479026,79863.9052714005,273.592623327754,1347.99661690483,4661.89691398701,6406.31345546769,0,0,0,0,0,22.6136310123773,107.244774174278,387.986344575637,544.178917929781,0,0,0,0,0,40.3400902404072,6.5594913812012,76.7579000482704,35.4697893767576,117.36185232743,298.728718821002,138.707166472633,3599.31916240295,12.1760782002972
5,168809.790234379,965053.048873888,2770408.68754694,3431505.44388671,4555751.76789674,3343131.13462332,4091632.15197528,4713266.81718099,4683762.92739858,67660.5433732515,368070.204417782,1121492.61517656,1438348.48201503,0,0,0,0,0,2517.72711452259,14351.8031156189,41339.4763910597,51304.2818786955,0,0,0,0,0,57843.8087443563,279274.561094759,979944.302416607,1348714.40405456,1606530.92087112,1219087.25016842,1683405.94913319,1293058.4420571,1313317.03436647,2148.7116039756,10118.7676987547,36559.0819328605,51173.0152074073,0,0,0,0,0,862.716110722739,4153.23646789146,14622.5300752196,20164.5677359318,0,0,0,0,0,25334.0719920876,120930.122159161,430041.095654201,596776.501512806,674780.99711354,513322.751798795,715638.66635439,535033.526716501,542529.257461663,1206.4284694411,5671.17803480424,20527.4985370358,28765.1083642895,0,0,0,0,0,307.795442161164,1464.13892722996,5228.22827789894,7268.94738599592,0,0,0,0,0,7486.09148130964,36297.6140591577,127983.987746451,177296.985700348,197697.735936969,149850.701311069,209039.495942041,151429.968254568,160366.331267802,678.969950968847,3296.67043083929,11601.3111717734,16074.2823904444,0,0,0,0,0,64.1614214210238,305.898265352488,1100.23695235496,1537.8993345881,0,0,0,0,0,79.1840614030418,12.7564547621261,150.948121032758,70.0805331850563,238.578181623935,608.16209838532,283.736595087916,7211.24579083641,24.4495054878161
6,109166.556615922,656420.144271158,1773556.65289812,2120137.48374447,3120380.05466383,2265224.65771075,2661174.37844185,3473058.96645731,3426121.76420586,77996.1989420909,426406.4309053,1291482.00904707,1650697.23056402,0,0,0,0,0,2116.35473981054,12655.6542822336,34415.0203054376,41293.0564049315,0,0,0,0,0,80418.2539673448,398785.997938151,1355085.75142529,1831280.21542755,2376585.29277594,1793509.56435296,2425734.35131462,1987506.1324333,2016810.64888963,4077.27403447798,19346.7488311317,69279.5920297572,96469.6985636803,0,0,0,0,0,1559.02648418111,7688.51743284701,26294.792204526,35667.1007463772,0,0,0,0,0,41232.8047747285,199352.909583174,698253.766102298,960459.310616904,1159378.62911999,879518.858209495,1213367.78337213,936214.973526803,950000.199036812,2441.60107585934,11541.7680301304,41509.9837673557,57949.7271741607,0,0,0,0,0,649.25025658471,3133.34278911747,10997.695151377,15141.5368364309,0,0,0,0,0,13503.5130718347,65499.7333137893,230867.149986398,319433.139213337,378199.61873282,286583.832577661,399181.663683556,289436.665524023,307020.57940559,1535.68741549444,7388.94633738755,26286.0699156441,36599.9834198725,0,0,0,0,0,157.253760868341,756.261321796787,2692.71625391537,3742.15834711511,0,0,0,0,0,146.224860802843,23.5449637847895,278.8009128161,129.358941146559,456.40470742118,1163.08714913478,541.823187836739,13783.2620585712,46.8084621111276
7,56356.4443325687,367223.278887651,901285.482357552,1018330.50980703,1715200.71605302,1224070.44762467,1348163.39755694,2141393.7210288,2085131.43313941,85702.0408501119,471748.303170501,1417111.82140696,1802989.84131847,0,0,0,0,0,1406.42762744105,9074.86717176202,22528.9779831507,25620.7526376905,0,0,0,0,0,91159.4387052611,469708.004196188,1524413.0467741,2007986.36596494,2891319.46581903,2165243.3097946,2846095.93783097,2553973.22840105,2582561.86631848,6988.92801898961,33600.0806220078,118419.03196053,163378.679893428,0,0,0,0,0,2274.96880996457,11607.4824028188,38104.9829829356,50520.063463474,0,0,0,0,0,59204.8582299688,292017.113296217,998729.073766709,1355622.1048289,1758879.55897424,1328699.7240303,1804599.22181076,1462915.07900779,1483298.65384535,4491.1018729986,21430.6019432275,76210.9525914171,105702.233202859,0,0,0,0,0,1166.5971052464,5748.30424693711,19678.8351450248,26719.2893708678,0,0,0,0,0,22414.8945126456,109608.277723439,382658.887635796,526360.154535279,668793.171212532,505933.212151107,700191.049081318,517093.466097273,548924.357502251,3247.62572540629,15554.1068334949,55634.2590531511,77628.9992384791,0,0,0,0,0,336.503768042231,1639.03992614961,5748.2155035149,7920.99048870883,0,0,0,0,0,250.170441354885,40.5395796081847,476.432839161509,220.015249860814,807.087941165207,2053.30639932024,950.393720009987,24624.5054650897,83.6891945151196
8,22813.3559139891,166346.296070172,357136.892267504,372990.888791741,746951.665330606,520594.006442924,524433.430323787,1092206.38514678,1042650.63105743,90456.3451772892,501781.435637491,1493483.7085931,1890924.93666737,0,0,0,0,0,735.977272920106,5281.47415730173,11550.1718125074,12187.2639990729,0,0,0,0,0,83425.3372039238,449802.82310417,1383127.99537418,1769837.88456641,2882391.39168902,2140074.05933939,2726873.49989826,2712293.38524615,2726717.72544244,10518.149993315,51600.9110271292,177407.902810765,241308.249169403,0,0,0,0,0,2691.36870521247,14281.1835443808,44731.7718531717,57828.440808952,0,0,0,0,0,74012.7166534105,373987.340094391,1242792.91380641,1661018.26889436,2325643.22712017,1748108.72075018,2331494.2440627,2005955.867794,2029331.40419303,7427.53180152258,35945.5821294132,125655.798239392,172586.599648274,0,0,0,0,0,1779.06599140201,8989.49689752793,29859.9227378863,39883.7204203343,0,0,0,0,0,33666.7145771785,166912.390905745,573292.032708251,781415.255905871,1078711.94508809,813919.957194728,1115684.46829299,849108.948648306,901162.847712392,6451.10685498837,30887.2430219657,110483.737736789,154043.457022683,0,0,0,0,0,630.239734693032,3119.58769046553,10731.9820634541,14633.423885742,0,0,0,0,0,392.09012015527,64.2357198494344,745.169996582173,341.610219787974,1301.77077211035,3303.2562727731,1514.3574222629,40435.413164771,137.39159470928
9,7545.43979907803,63188.7840090886,115173.415292792,109240.403053186,270327.107532883,183037.91760457,165433.001831023,478511.097071363,445109.713795221,92793.9447139145,518226.154578079,1530218.54009922,1930055.29479265,0,0,0,0,0,318.463471159374,2606.21849410127,4876.30548961718,4690.52608909571,0,0,0,0,0,63970.2009145244,360342.63705963,1052540.25475703,1312424.3994322,2461063.83947559,1813484.75547111,2250872.85714364,2455665.58303326,2452190.47750146,13661.6986489904,68835.5061201677,229057.474419704,305945.585197428,0,0,0,0,0,2699.93171723287,14862.3155144583,44563.303165639,56352.4182760961,0,0,0,0,0,81628.507574529,422442.100854807,1364742.0649558,1797741.80265612,2715779.51318552,2031509.06664292,2663240.57698141,2429834.31070762,2450463.2482132,10952.5924524622,53974.892729466,184554.830176659,250395.031402403,0,0,0,0,0,2344.25521821234,12154.5862664788,39148.5113770259,51452.7768314393,0,0,0,0,0,45534.7470507069,229563.258633598,773117.601464881,1042802.75500565,1585915.68440245,1193126.01387289,1618257.04734013,1275259.86526963,1352030.42947032,11944.132487764,57456.2962080328,204240.62646297,283547.958855548,0,0,0,0,0,1042.97107475288,5253.80705484936,17699.4282302144,23865.5716168506,0,0,0,0,0,563.114876673183,93.4424772454733,1067.64410844975,485.476791324726,1913.8554035553,4842.24640850214,2196.51670379372,60729.1439181216,206.131019795088
